X_name,FGL,GLON,GLAT,ra,dec,Class,CT,Class_prob,Class_prob_e,r0,significance,Fb,HR_hms,HR_ms,HR_hm,Fs,e_Fs,Fm,e_Fm,Fh,e_Fh,P_intra,P_inter,p_any,p_i,Gmag,BPmag,RPmag,e_Gmag,e_BPmag,e_RPmag,RPlx,PM,epsi,sepsi,ruwe,rgeo,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,W1mag,W2mag,W3mag,e_W1mag,e_W2mag,e_W3mag,ebv,nH_from_AV,nH
2CXO J085850.1-473008,J0859.2-4729,267.90576928173545,-1.084736364507275,134.70883712404034,-47.50226943621272,YSO,1.2011513895823374,0.4118877057115198,0.1223692902313617,1.308022196403448,4.500000000000309,4.7211335900128864e-15,0.9345071000614732,0.03680978088883026,0.9655041424201046,7.445477967306652e-17,5.625137822420179e-17,8.01455852305e-17,6.055084237166444e-17,4.56653322510932e-15,1.26848145141925e-15,0.9979759680690496,,0.99588454,1.0,,,,,,,,,,,,,17.893,15.271,14.729,,,0.141,,,,,,,3.2967607679725526,2.2586108021379956,21.863700135139364
2CXO J085850.8-473013,J0859.2-4729,267.9080573051847,-1.0841476909783032,134.71171212048625,-47.50361388055914,YSO,3.951426883897525,0.7853049370764763,0.1109880263848108,1.233743111950012,3.2972972972974333,1.7454108596819289e-15,0.3755652027515768,0.624799740971388,0.46114757414336593,1.022322474936431e-16,7.723755070831806e-17,4.4271539064669763e-16,1.922983665820618e-16,1.2004632215415882e-15,5.839793895238624e-16,0.12138691801458,,0.9964338,1.0,,,,,,,,,,,,,15.867,14.198,13.479,0.086,0.049,0.046,,,,,,,3.296482151801257,2.2584199221990415,21.86386038019846
2CXO J085850.9-472924,J0859.2-4729,267.89803119391155,-1.0748379400156145,134.7124204519341,-47.48994165831586,YSO,0.9331766695312834,0.5825169409486931,0.1567476368574677,1.14198164008188,3.2941176470588256,1.459637143961349e-15,-0.5673827339102121,-0.21523397908738595,-0.1741042230788513,6.950561298076064e-16,2.472603778086668e-16,4.488488988019101e-16,1.9832858319154004e-16,3.157321153518325e-16,2.385389724631463e-16,0.6239583353414799,,0.99757475,1.0,18.1632,19.244238,17.041096,0.003166,0.045791,0.019628,10.7253,0.007965,0.000422,2.04,1.09,869.595093,15.47,14.786,14.613,0.06,0.051,0.106,,,,,,,3.2613895081179094,2.23437795201158,21.863369301894814
2CXO J085851.5-473108,J0859.2-4729,267.9210986019853,-1.0925680154155046,134.71492045085293,-47.51898332489995,AGN,0.5212215304152402,0.3465634075508228,0.1568830975451278,1.0338868730591857,3.874999999999909,3.079936674452813e-15,0.6910771037177561,0.7001142827617378,0.7311717177282422,7.133253788421168e-17,5.3892491332809706e-17,4.04398941034721e-16,2.187765119917816e-16,2.6042051955338804e-15,9.0145564460785e-16,0.65220528350446,,0.99772173,1.0,,,,,,,,,,,,,,,,,,,13.124,11.423,1.716,,0.128,0.08,3.3309238626292874,2.2820159382873246,21.864596451523198
2CXO J085851.7-473127,J0859.2-4729,267.92532561837766,-1.0956309444019332,134.71558711704756,-47.524183324881314,NS,0.1026839900399199,0.3855082284607938,0.1433464868448262,0.717023058404749,6.51384449625019,1.167770264358398e-14,0.9237514333491192,-0.6224978351126188,0.985148674503362,3.611712989280439e-16,2.728687591171121e-16,8.403274524619653e-17,6.348763312198394e-17,1.1232498599409738e-14,1.863115278355798e-15,0.9999792376554332,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3.3431240911470423,2.290374314844839,21.864837922169677
2CXO J085853.6-473014,J0859.2-4729,267.91364340797105,-1.0782605724662235,134.72371210527274,-47.50398332459615,NS,0.4888497195205804,0.5026331074540175,0.2512758875315584,1.42060623196018,3.0857142857142708,3.875496043014399e-15,0.9496309998485756,0.8365031367302738,0.95365316806307,7.978845608028655e-18,6.028102749890869e-18,8.962358478068996e-17,8.679998888007146e-17,3.777893612625681e-15,1.2830582080615502e-15,0.11862411990761,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3.282187403642474,2.248626590235459,21.864318391256013
2CXO J085853.9-473051,J0859.2-4729,267.92178912782435,-1.084530389773149,134.72458710489872,-47.51424443568043,YSO,4.261582157977619,0.7312584704743466,0.0959336212110542,0.4843780200257853,23.400420952175786,1.0703942374813049e-13,0.7074437948429866,0.8125693939248839,0.73117560999865,1.4673495883882798e-15,3.5041184200314993e-16,1.4190174218585e-14,1.0828201277839997e-15,9.138189994115721e-14,5.198095195225501e-15,0.972439895499378,,0.99958575,1.0,17.582407,20.335091,16.068581,0.004839,0.067386,0.014871,6.511,0.007697,0.0004729999999999,4.139,1.003,1787.97656,12.48,10.949,10.307,0.022,0.025,0.023,,,,,,,3.3067791340930763,2.2654743847671663,21.864756305061096
2CXO J085854.0-473102,J0859.2-4729,267.924287486036,-1.086283740622663,134.72504543786798,-47.51728054677768,YSO,2.218553127944709,0.6848015488867376,0.149539941507698,0.7711174140713593,5.085714285714294,8.885316044602618e-15,0.8826952661002433,0.6854020285205265,0.9002266772970843,8.197555115550148e-17,6.193340109840657e-17,4.391692659581721e-16,2.1958463297908503e-16,8.364171227488944e-15,1.6983352255042493e-15,0.3420295695658599,,0.9991443,1.0,,,,,,,,,,,,,17.188,15.608,13.535,,0.137,0.052,,,,,,,3.31380860175218,2.2702902730604184,21.864896191947413
2CXO J085854.2-472841,J0859.2-4729,267.8951455144687,-1.060235713207596,134.72596210056508,-47.47820276897646,AGN,0.344295975280044,0.4893804453049371,0.1849931998671528,0.5123690723337037,15.623223294896643,7.325746961159053e-14,0.9513782338966312,0.9189608857521095,0.9533023660642342,7.21634582775287e-17,5.452026053075668e-17,1.7087903181121802e-15,3.9433622725665e-16,7.147651583520082e-14,4.9650656413985005e-15,0.948965058991316,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3.2149018407087815,2.202529251069586,21.86345452777605
2CXO J085854.2-472949,J0859.2-4729,267.9094418524298,-1.072575347976181,134.7260037685338,-47.497086102297,YSO,3.306204016723329,0.7343562439496613,0.0994461255253437,0.5338745791701456,10.269684940652056,1.65983538784742e-14,0.5327454525599413,0.6115872551289916,0.6055943263346504,7.530989408272821e-16,2.3782071815598503e-16,3.124729224040921e-15,4.971257185275501e-16,1.2720525713605998e-14,1.88276527445e-15,0.975521992872445,,0.9993293,1.0,19.251471,21.09511,17.808062,0.00432,0.13438,0.028098,3.1537,0.006726,0.001034,2.727,1.001,1571.62878,14.642,13.279,12.558,0.041,0.037,0.047,,,,,,,3.2620212174507115,2.2348107360754823,21.864138498622772
2CXO J085855.0-473138,J0859.2-4729,267.9337708171843,-1.0906229703663015,134.72937876641475,-47.52728887997271,AGN,0.0415092483726083,0.413378509196515,0.2066344115619994,0.8441102216441286,3.812500000000002,6.073688782378137e-15,0.9610776513651282,0.8649954269750292,0.9636572563855967,7.978845608028655e-18,6.028102749890869e-18,1.1022227053568684e-16,8.327409812853257e-17,5.955487666234421e-15,1.4888719165586504e-15,0.963635961965061,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3.333417182374778,2.2837241116449607,21.865467913576843
2CXO J085855.2-473150,J0859.2-4729,267.93659701113216,-1.0923627667410258,134.73017043231056,-47.53056387994953,YSO,1.0747092603455604,0.4016650532429816,0.1053120874542655,0.5163545935537904,10.527120948454677,3.0820478587400614e-14,0.7561745272948236,0.9957530064668285,0.7566292857704895,7.978845608028655e-18,6.028102749890869e-18,3.749430034678334e-15,5.382893748525042e-16,2.706306970711425e-14,2.985737160425744e-15,1.0,,0.9982307,1.0,,,,,,,,,,,,,14.354,15.166,14.131,,0.106,0.148,,,,,,,3.340635267788965,2.28866922196222,21.865635516967306
